sheet,country,year,n_banks_reporting
Tier 1 Capital,AT,2023,18
Tier 1 Capital,BE,2023,11
Tier 1 Capital,CY,2023,4
Tier 1 Capital,DE,2023,29
Tier 1 Capital,EE,2023,2
Tier 1 Capital,ES,2023,29
Tier 1 Capital,FI,2023,13
Tier 1 Capital,FR,2023,87
Tier 1 Capital,GR,2023,4
Tier 1 Capital,IE,2023,8
Tier 1 Capital,IT,2023,40
Tier 1 Capital,LT,2023,3
Tier 1 Capital,LU,2023,6
Tier 1 Capital,LV,2023,7
Tier 1 Capital,MT,2023,3
Tier 1 Capital,NL,2023,9
Tier 1 Capital,PT,2023,15
Tier 1 Capital,SI,2023,5
Tier 1 Capital,SK,2023,5
Tier 1 Capital,AT,2022,18
Tier 1 Capital,BE,2022,11
Tier 1 Capital,CY,2022,4
Tier 1 Capital,DE,2022,31
Tier 1 Capital,EE,2022,2
Tier 1 Capital,ES,2022,30
Tier 1 Capital,FI,2022,14
Tier 1 Capital,FR,2022,85
Tier 1 Capital,GR,2022,5
Tier 1 Capital,IE,2022,7
Tier 1 Capital,IT,2022,40
Tier 1 Capital,LT,2022,3
Tier 1 Capital,LU,2022,6
Tier 1 Capital,LV,2022,7
Tier 1 Capital,MT,2022,3
Tier 1 Capital,NL,2022,9
Tier 1 Capital,PT,2022,15
Tier 1 Capital,SI,2022,5
Tier 1 Capital,SK,2022,5
Tier 1 Capital,AT,2021,19
Tier 1 Capital,BE,2021,12
Tier 1 Capital,CY,2021,4
Tier 1 Capital,DE,2021,29
Tier 1 Capital,EE,2021,2
Tier 1 Capital,ES,2021,31
Tier 1 Capital,FI,2021,16
Tier 1 Capital,FR,2021,86
Tier 1 Capital,GR,2021,4
Tier 1 Capital,IE,2021,8
Tier 1 Capital,IT,2021,38
Tier 1 Capital,LT,2021,4
Tier 1 Capital,LU,2021,6
Tier 1 Capital,LV,2021,7
Tier 1 Capital,MT,2021,3
Tier 1 Capital,NL,2021,9
Tier 1 Capital,PT,2021,15
Tier 1 Capital,SI,2021,6
Tier 1 Capital,SK,2021,5
Tier 1 Capital,AT,2020,19
Tier 1 Capital,BE,2020,13
Tier 1 Capital,CY,2020,3
Tier 1 Capital,DE,2020,27
Tier 1 Capital,EE,2020,2
Tier 1 Capital,ES,2020,33
Tier 1 Capital,FI,2020,15
Tier 1 Capital,FR,2020,86
Tier 1 Capital,GR,2020,4
Tier 1 Capital,IE,2020,8
Tier 1 Capital,IT,2020,38
Tier 1 Capital,LT,2020,4
Tier 1 Capital,LU,2020,6
Tier 1 Capital,LV,2020,8
Tier 1 Capital,MT,2020,3
Tier 1 Capital,NL,2020,9
Tier 1 Capital,PT,2020,15
Tier 1 Capital,SI,2020,4
Tier 1 Capital,SK,2020,5
Tier 1 Capital,AT,2019,20
Tier 1 Capital,BE,2019,13
Tier 1 Capital,CY,2019,4
Tier 1 Capital,DE,2019,26
Tier 1 Capital,EE,2019,2
Tier 1 Capital,ES,2019,33
Tier 1 Capital,FI,2019,17
Tier 1 Capital,FR,2019,88
Tier 1 Capital,GR,2019,4
Tier 1 Capital,IE,2019,7
Tier 1 Capital,IT,2019,35
Tier 1 Capital,LT,2019,4
Tier 1 Capital,LU,2019,5
Tier 1 Capital,LV,2019,8
Tier 1 Capital,MT,2019,3
Tier 1 Capital,NL,2019,10
Tier 1 Capital,PT,2019,15
Tier 1 Capital,SI,2019,4
Tier 1 Capital,SK,2019,5
Tier 1 Ratio,AT,2023,19
Tier 1 Ratio,BE,2023,11
Tier 1 Ratio,CY,2023,3
Tier 1 Ratio,DE,2023,37
Tier 1 Ratio,EE,2023,2
Tier 1 Ratio,ES,2023,30
Tier 1 Ratio,FI,2023,13
Tier 1 Ratio,FR,2023,84
Tier 1 Ratio,GR,2023,5
Tier 1 Ratio,IE,2023,8
Tier 1 Ratio,IT,2023,41
Tier 1 Ratio,LT,2023,3
Tier 1 Ratio,LU,2023,6
Tier 1 Ratio,LV,2023,6
Tier 1 Ratio,MT,2023,3
Tier 1 Ratio,NL,2023,9
Tier 1 Ratio,PT,2023,16
Tier 1 Ratio,SI,2023,5
Tier 1 Ratio,SK,2023,4
Tier 1 Ratio,AT,2022,18
Tier 1 Ratio,BE,2022,11
Tier 1 Ratio,CY,2022,3
Tier 1 Ratio,DE,2022,43
Tier 1 Ratio,EE,2022,2
Tier 1 Ratio,ES,2022,31
Tier 1 Ratio,FI,2022,14
Tier 1 Ratio,FR,2022,83
Tier 1 Ratio,GR,2022,5
Tier 1 Ratio,IE,2022,7
Tier 1 Ratio,IT,2022,41
Tier 1 Ratio,LT,2022,3
